,url,author
152,http://lib.ru/INPROZ/BLUM_E/,Блум Эми
153,http://lib.ru/INPROZ/BLEKWUD_E/,Блэквуд Элджернон
154,http://lib.ru/INPROZ/BOBEN/,Бобен Кристиан
155,http://lib.ru/INPROZ/BOLDUIN_D/,Болдуин Джеймс
156,http://lib.ru/INPROZ/../INOFANT/BOLLARD/,Боллард Джеймс
157,http://lib.ru/INPROZ/BORHERT/,Борхерт Вольфганг
158,http://lib.ru/INPROZ/../BORHES/,Борхес Хорхе Луис
159,http://lib.ru/INPROZ/BROWER/,Брауэр Уильям
160,http://lib.ru/INPROZ/BREDBERI_M/,Бредбери Малькольм
161,http://lib.ru/INPROZ/BRENNEN/,Бреннен Джозеф
162,http://lib.ru/INPROZ/BREHT/,Брехт Бертольт
163,http://lib.ru/INPROZ/BROH_G/,Брох Герман
164,http://lib.ru/INPROZ/BRUKNER/,Брюкнер Паскаль
165,http://lib.ru/INPROZ/BUSON_P/,Бусон Еса
166,http://lib.ru/INPROZ/BUKOWSKI/,Буковски Чарльз
167,http://lib.ru/INPROZ/BUCCATI/,Буццати Дино
168,http://lib.ru/INPROZ/BUSHNELL/,Бушнелл Кейт
169,http://lib.ru/INPROZ/BENWILL_D/,Бэнвилл Джон
170,http://lib.ru/INPROZ/WAJS/,Вайс Эрнст
171,http://lib.ru/INPROZ/WAJAN/,Вайян Роже
172,http://lib.ru/INPROZ/WANDERBEKE_B/,Вандербеке Биргит
173,http://lib.ru/INPROZ/../PROZA/WEZHIN/,Вежинов Павел
174,http://lib.ru/INPROZ/WELSH/,Вельш Ирвин
175,http://lib.ru/INPROZ/WERKOR/,Веркор
176,http://lib.ru/INPROZ/../WIAN/,Виан Борис
177,http://lib.ru/INPROZ/WIWERA_L/,Вивера Луис
178,http://lib.ru/INPROZ/WINTERSON/,Винтерсон Джанет
179,http://lib.ru/INPROZ/../WO/,Во Ивлин
180,http://lib.ru/INPROZ/WOJNICH/,Войнич Лилиан Этель
181,http://lib.ru/INPROZ/WOLXPI_H/,Вольпи Хорхе
182,http://lib.ru/INPROZ/WOLF_K/,Вольф Криста
183,http://lib.ru/INPROZ/WUDHAUS/,Вудхауз Пэлем Грэнвил
184,http://lib.ru/INPROZ/WULF/,Вулф Томас
185,http://lib.ru/INPROZ/WULF_W/,Вулф Вирджиния
186,http://lib.ru/INPROZ/GADDA_E/,Гадда Эмилио
187,http://lib.ru/INPROZ/GAMSUN/,Гамсун Кнут
188,http://lib.ru/INPROZ/DUGAR/,Дю Гар Роже Мартен
189,http://lib.ru/INPROZ/GAMIKAWA/,Гамикава Дзюнпей
190,http://lib.ru/INPROZ/GARDI/,Гарди Томас
191,http://lib.ru/INPROZ/GARDNER_D/,Гарднер Джон
192,http://lib.ru/INPROZ/GARI/,Гари Ромен
193,http://lib.ru/INPROZ/GARNET/,Гарнет Давид
194,http://lib.ru/INPROZ/GART/,Гарт Брет
195,http://lib.ru/INPROZ/GASKELL_E/,Гаскелл Элизабет
196,http://lib.ru/INPROZ/GASRI/,Гасри Вуди
197,http://lib.ru/INPROZ/../GASHEK/,Гашек Ярослав
198,http://lib.ru/INPROZ/GEJMS_S/,Гейм Стефан
199,http://lib.ru/INPROZ/../GESSE/,Гессе Герман
200,http://lib.ru/INPROZ/../GOLDING/,Голдинг Уильям
201,http://lib.ru/INPROZ/GOLDSMIT/,Голдсмит Оливер
202,http://lib.ru/INPROZ/GOLSUORSI/,Голсуорси Джон
203,http://lib.ru/INPROZ/GOTORN/,Готорн Натаниель
204,http://lib.ru/INPROZ/GRABAL/,Грабал Бумил
205,http://lib.ru/INPROZ/GRASS/,Грасс Гюнтер
206,http://lib.ru/INPROZ/GREJ_A/,Грей Аласдер
207,http://lib.ru/INPROZ/GREJ/,Грей Хэрри
208,http://lib.ru/INPROZ/GREEN/,Грин Грэм
209,http://lib.ru/INPROZ/GRINWUD_D/,Гринвуд Джеймс
210,http://lib.ru/INPROZ/http://lit.lib.ru/t/tod_g/,Гринуэй Тод
211,http://lib.ru/INPROZ/GRUM/,Грум Уинстон
212,http://lib.ru/INPROZ/GREM/,Грэм Кеннет
213,http://lib.ru/INPROZ/GUSTAFSSON_L/,Густафссон Ларс
214,http://lib.ru/INPROZ/GUERRA/,Гуэрра Тонино
215,http://lib.ru/INPROZ/GELLIKO/,Гэллико Пол
216,http://lib.ru/INPROZ/GUNTEKIN/,Гюнтекин Решад
217,http://lib.ru/INPROZ/DAWIDIE/,Давидье Жюльен
218,http://lib.ru/INPROZ/DADZAJ/,Дадзай Осаму
219,http://lib.ru/INPROZ/DALOSH/,Далош Дьердь
220,http://lib.ru/INPROZ/DAL/,Даль Роальд
221,http://lib.ru/INPROZ/DEMUSSE/,де Мюссе Альфред
222,http://lib.ru/INPROZ/DEGEN_M/,Деген Михаэль
223,http://lib.ru/INPROZ/DERRI_D/,Дерри Дорис
224,http://lib.ru/INPROZ/JAMES/,Джеймс Генри
225,http://lib.ru/INPROZ/../JEROM/,Джером К.Джером
226,http://lib.ru/INPROZ/DZHEJKOBS/,Джейкобс У.У.
227,http://lib.ru/INPROZ/DZHEKSON_S/,Джексон Ширли
228,http://lib.ru/INPROZ/../DVOJS/,Джойс Джеймс
229,http://lib.ru/INPROZ/DZHONS/,Джонс Джеймс
230,http://lib.ru/INPROZ/DIKKENS/,Диккенс Чарльз
231,http://lib.ru/INPROZ/DOGERTI/,Догерти Берли
232,http://lib.ru/INPROZ/DODERER/,фон Додерер Хаймито
233,http://lib.ru/INPROZ/../AKONANDOJL/,Конан Дойль Артур
234,http://lib.ru/INPROZ/DOKTOROU/,Доктороу Е.Л.
235,http://lib.ru/INPROZ/DOMAL/,Домаль Рене
236,http://lib.ru/INPROZ/DOMANOWICH_R/,Доманович Радое
237,http://lib.ru/INPROZ/PASSOS/,Дос Пассос Джон
238,http://lib.ru/INPROZ/DRAJZER/,Драйзер Теодор
239,http://lib.ru/INPROZ/DURENMATT/,Дюрренматт Фридрих
240,http://lib.ru/INPROZ/ESIMOTO_B/,Есимото Банана
241,http://lib.ru/INPROZ/ZHID/,Жид Андре
242,http://lib.ru/INPROZ/ZINGER/,Зингер Исаак Башевис
243,http://lib.ru/INPROZ/MAZOH/,Захер-Мазох Леопольд фон
244,http://lib.ru/INPROZ/ZOLYA/,Золя Эмиль
245,http://lib.ru/INPROZ/ZURMINSKY/,Зурмински Арно
246,http://lib.ru/INPROZ/../ZUSKIND/,Зюскинд Патрик
247,http://lib.ru/INPROZ/http://az.lib.ru/i/ibsen_g/,Ибсен Генрик
248,http://lib.ru/INPROZ/ISLER_A/,Илсер Алан
249,http://lib.ru/INPROZ/IONESKO_E/,Ионеско Эжен
250,http://lib.ru/INPROZ/IRWIN/,Ирвин Роберт
251,http://lib.ru/INPROZ/IRWING/,Ирвинг Вашингтон
252,http://lib.ru/INPROZ/http://lit.lib.ru/i/isao_j/,Исао Ясуда
253,http://lib.ru/INPROZ/JERBY/,Йерби Фрэнк
254,http://lib.ru/INPROZ/JOKAI/,Йокаи Мор
255,http://lib.ru/INPROZ/KAWABATA/,Кавабата Ясунари
256,http://lib.ru/INPROZ/KAZANDAKIS/,Казандзакис Н.
257,http://lib.ru/INPROZ/KALDERS/,Калдерс Пере
258,http://lib.ru/INPROZ/KAMU/,Камю Альбер
259,http://lib.ru/INPROZ/KAPOTE/,Капоте Трумен
260,http://lib.ru/INPROZ/KARMER/,Кармер Роберт
261,http://lib.ru/INPROZ/KARMINGGELT/,Кармиггелт Симон
262,http://lib.ru/INPROZ/KARRENT_O/,Карент Оливия
263,http://lib.ru/INPROZ/KARER_E/,Каррер Эммануэль
264,http://lib.ru/INPROZ/KARSON/,Карсон Киаран
265,http://lib.ru/INPROZ/KASARES/,Касарес Адольфо Биой
266,http://lib.ru/INPROZ/../KASTANEDA/,Кастанеда Карлос
267,http://lib.ru/INPROZ/KATROWAS/,Катровас Ричард
268,http://lib.ru/INPROZ/../KAFKA/,Кафка Франц
269,http://lib.ru/INPROZ/KWINSI/,Де Квинси Томас
270,http://lib.ru/INPROZ/KETZABURO_O/,Кэндзабуро Оэ
271,http://lib.ru/INPROZ/KENO/,Кено Рэмон
272,http://lib.ru/INPROZ/KEPPEN/,Кеппен Вольфганг
273,http://lib.ru/INPROZ/KERUAK/,Керуак Джек
274,http://lib.ru/INPROZ/KESSEL/,Кессель Жозеф
275,http://lib.ru/INPROZ/KESTLER/,Кестлер Артур
276,http://lib.ru/INPROZ/KESTNER/,Кестнер Эрих
277,http://lib.ru/INPROZ/../KIZI/,Кизи Кен
278,http://lib.ru/INPROZ/../KIPLING/,Киплинг Редьярд
279,http://lib.ru/INPROZ/KIRST/,Кирст Ганс Гельмут
280,http://lib.ru/INPROZ/../INOSTRHIST/KLAVELL/,Клавелл Джеймс
281,http://lib.ru/INPROZ/KLEJST/,Клейст Генрих фон
282,http://lib.ru/INPROZ/KNAPP_R/,Кнапп Радек
283,http://lib.ru/INPROZ/KOWELER_D/,Ковелер Дидье
284,http://lib.ru/INPROZ/KOLLINZ_D/,Коллинз Джеки
285,http://lib.ru/INPROZ/KOLER/,Кольер Джон
286,http://lib.ru/INPROZ/KONRAD/,Конрад Джозеф
287,http://lib.ru/INPROZ/KORAGESSAN/,Корагессан Бойл
288,http://lib.ru/INPROZ/KORTASAR/,Кортасар Хулио
289,http://lib.ru/INPROZ/KORTES_R/,Кортес Родриго
290,http://lib.ru/INPROZ/KOSINSKIJ/,Косинский Ежи
291,http://lib.ru/INPROZ/KOUPLEND/,Коупленд Дуглас
292,http://lib.ru/INPROZ/KRAJTON_R/,Крайтон Роберт
293,http://lib.ru/INPROZ/KRISHTOF/,Криштоф Агота
294,http://lib.ru/INPROZ/KRONIN/,Кронин Арчибалд
295,http://lib.ru/INPROZ/KROULI/,Кроули Алистер
296,http://lib.ru/INPROZ/KUTZEE/,Кутзее Дж.
297,http://lib.ru/INPROZ/KERI/,Кэри Джойс
298,http://lib.ru/INPROZ/KESER/,Кэсер Уилла
299,http://lib.ru/INPROZ/KURTIS/,Кюртис Жан-Луи
300,http://lib.ru/INPROZ/LAGERKWIST/,Лагерквист Пер
301,http://lib.ru/INPROZ/../TALES/LAGERLEF/,Лагерлеф Сельма
302,http://lib.ru/INPROZ/LAJTMAN_A/,Лайтман Алан
303,http://lib.ru/INPROZ/LARNI/,Ларни Марти
304,http://lib.ru/INPROZ/LEWI_A/,Леви Ахто
305,http://lib.ru/INPROZ/LEFORT_G/,Лефорт Гертруд
