,url_x,book,author_x,author_y,url_y
445,http://lib.ru/INOFANT/BRADBURY/30-33.txt,рассказолюбви,брэдберирэй,рэйбрэдбери,https://briefly.ru/bredberi/rasskaz_o_liubvi/
446,http://lib.ru/INOFANT/BRADBURY/piecwood.txt,ржавчина,брэдберирэй,рэйбрэдбери,https://briefly.ru/bredberi/rzhavchina/
447,http://lib.ru/INPROZ/MOPASSAN/r_ozherelie.txt,ожерелье,мопассангиде,гидемопассан,https://briefly.ru/mopassan/ozherele/
448,http://lib.ru/POEEAST/GOMER/gomer01.txt,илиада,гомер,гомер,https://briefly.ru/gomer/iliada/
449,http://lib.ru/POEEAST/GOMER/gomer02.txt,одиссея,гомер,гомер,https://briefly.ru/gomer/odisseja/
450,http://lib.ru/PROZA/../KABAKOW/newozwr.txt,невозвращенец,кабаковалександр,александрабрамовичкабаков,https://briefly.ru/kabakov/nevozvracshenec/
451,http://lib.ru/PROZA/ZAKRUTKIN/maria.txt,матерьчеловеческая,закруткинвиталий,виталийалександровичзакруткин,https://briefly.ru/zakrutkin/mater_chelovecheskaja/
452,http://lib.ru/INPROZ/KOBO/zhenshina.txt,женщинавпесках,абэкобо,кобоабэ,https://briefly.ru/abe/zhencshina_v_peskah/
453,http://lib.ru/INPROZ/KOBO/karta.txt,сожженнаякарта,абэкобо,кобоабэ,https://briefly.ru/abe/sozhzhennaia_karta/
454,http://lib.ru/INPROZ/KOBO/firedmap.txt,сожженнаякарта,абэкобо,кобоабэ,https://briefly.ru/abe/sozhzhennaia_karta/
455,http://lib.ru/INPROZ/KOBO/lico.txt,чужоелицо,абэкобо,кобоабэ,https://briefly.ru/abe/chuzhoe_lico/
456,http://lib.ru/INPROZ/KOBO/yaschik.txt,человекящик,абэкобо,кобоабэ,https://briefly.ru/abe/chelovek-jacshik/
457,http://lib.ru/INPROZ/GELLIKO/tomasina.txt,томасина,гэлликопол,полгэллико,https://briefly.ru/gelliko/tomasina/
458,http://lib.ru/INPROZ/DZHONS/sudba.txt,отнынеивовек,джонсджеймс,джеймсрамонджонс,https://briefly.ru/dzhons/otnyne_i_vovek/
459,http://lib.ru/PROZA/NILIN/probatio.txt,испытательныйсрок,нилинпавел,павелфилипповичнилин,https://briefly.ru/nilin/ispytatelnyj_srok/
460,http://lib.ru/PRIKL/BUSSENAR/sorvigolova3.txt,капитансорвиголова,буссенарлуи,луибуссенар,https://briefly.ru/bussenar/kapitan_sorvi_golova/
